"url","saved","type","status"
"https://heatwiser.com/wp-content/uploads/2025/02/hw-freezing.png","b82172935bb97d0e983b4d05cb37842ae060ee78_hw-freezing.png","image","ok"
"https://heatwiser.com/wp-content/uploads/2025/03/hw-mar-25.png","3f4e15876b2c4fcdd46d5c44ea39917ce3bcd4c7_hw-mar-25.png","image","ok"
"https://heatwiser.com/wp-content/uploads/2025/04/hw-spring-maintenance-1.png","fc15e00f9c193328a01c58c3b235879a03b3011e_hw-spring-maintenance-1.png","image","ok"
"https://heatwiser.com/wp-content/uploads/2025/05/Untitled-design-11.png","dda034d42dbeed15f1a250e57a01cc042efd145d_Untitled-design-11.png","image","ok"
"https://heatwiser.com/wp-content/uploads/2025/06/untitled-3.png","290fc08278772ccd390c8ec1960fd38bd152f247_untitled-3.png","image","ok"
"https://heatwiser.com/wp-content/uploads/2025/07/Untitled-design-86.png","e31c2f549f537b4a288c85b3e2f3b95e7fccc6f5_Untitled-design-86.png","image","ok"
"https://heatwiser.com/wp-content/uploads/2025/08/August-25-Thumbnail.png","24662f6ad7dc7aa5faaf8b7872b658cc29b7639c_August-25-Thumbnail.png","image","ok"
"https://heatwiser.com/wp-content/uploads/2025/09/Untitled-design-2025-09-29T090444.444.png","7d6067eac02eed4a4c76955e3737c7f8d79ff3ab_Untitled-design-2025-09-29T090444.444.png","image","ok"
"https://heatwiser.com/wp-content/uploads/2025/10/Untitled-design-2025-10-07T145723.217.png","c111fa60c61ed5794f37cca2ca419448e1ba7565_Untitled-design-2025-10-07T145723.217.png","image","ok"
"https://heatwiser.com/wp-content/uploads/2025/10/Untitled-design-2025-10-20T123726.565.png","ca63cc2090a4bc13da6cd2b0291723f50229efac_Untitled-design-2025-10-20T123726.565.png","image","ok"
"https://heatwiser.com/wp-content/uploads/2025/12/emergency-heating.png","7196946b2bdc127f385b5c630edc221d32030c04_emergency-heating.png","image","ok"
"https://heatwiser.com/wp-content/uploads/2026/01/Dec-25-Blog-Graphics-9.png","bdd58e02840119939a35a5c7822523da2d5a0966_Dec-25-Blog-Graphics-9.png","image","ok"
"https://heatwiser.com/wp-content/uploads/2026/02/Jan-26-Blog-Thumbnails-15.png","2a434146ed1e31142e3651e753f20e1a8f6e37b6_Jan-26-Blog-Thumbnails-15.png","image","ok"
"https://heatwiser.com/wp-content/uploads/2026/02/Spring-Temps-Thumbnail.png","9e1730a7d4cc34bd575188d754d5cdbdaed8ae8a_Spring-Temps-Thumbnail.png","image","ok"
"https://heatwiser.com/wp-content/uploads/2026/04/AC-Red-Flags.png","e0abb2979a9bb142057d8aed452c42445cfaad79_AC-Red-Flags.png","image","ok"
"https://heatwiser.com/wp-content/uploads/2023/03/Energy_Star-150x150-1.png","c44d7395657d6cb090552c92a6148c820c3e4efc_Energy_Star-150x150-1.png","image","ok"
"https://heatwiser.com/wp-content/uploads/2023/03/EPA-Approved-15-2-64x64-1.webp","2338d90c1d826a5dd166070fcd1b57d28bd5994c_EPA-Approved-15-2-64x64-1.webp","image","ok"
"https://heatwiser.com/wp-content/uploads/2023/03/Heatwiser_owner-smiling.jpg","e945a359268f946ca7f8b19ba52d6b068f9ba987_Heatwiser_owner-smiling.jpg","image","ok"
"https://heatwiser.com/wp-content/uploads/2023/03/Insured.jpg","1c7f3ddf5cc9b775b280582c0ffceba882938690_Insured.jpg","image","ok"
